page_id	page_name	quality	popularity	authors_interest
3795979	Liste de films et de séries télévisées se déroulant à Miami	4.8686	1.0	0
474249	Saint-Denis-lès-Martel	37.9829	3.0	0
839777	Parc national Amboró	17.5088	1.0	0
6439868	Cascade de Sakaleona	19.0228	0.0	0
880092	Optimus	0.863	2.0	0
5689906	FS E.412	7.8074	0.0	0
5470573	Martin Dobson	15.534	0.0	0
9270410	Enrico Pozzo	5.2472	0.0	0
4452422	Dorothea Henzler	9.7669	0.0	0
7179981	Porto-Vecchio Festival	3.3651	0.0	0
1310058	Cepeda la Mora	9.4327	0.0	0
9368293	Riccardo Cervi	8.2586	0.0	0
5263706	Championnat d'Égypte de football 2006-2007	13.5041	0.0	0
11977393	La Fille du clown	9.9392	0.0	0
12412100	Crésançon	34.4229	0.0	0
5949987	Narcisse (Manitoba)	3.0941	0.0	0
7007180	Delanoue	1.5358	0.0	0
9825350	Santo Domingo de Pirón	14.9792	0.0	0
1102788	BIN	1.6648	3.0	0
3497059	Basses-terres du Saint-Laurent	19.4966	11.0	0
4182274	Walther TPH	5.9189	1.0	0
2701922	Matador (comics)	4.0575	1.0	1
546697	Étrier	15.9868	17.0	2
10592483	Stasina vittata	11.6568	0.0	0
259945	Futura 2000	15.3723	6.0	0
1379040	Komodo vs Cobra	7.8553	0.0	0
2431077	Achat impulsif	15.7866	7.0	0
7965206	Maziya Sports and Recreation Club	4.8869	0.0	0
5348375	Telechips	19.0461	1.0	0
10897978	Sophie Podolski	17.7499	1.0	0
10713370	Tour de Murrieta	34.6279	1.0	0
218167	Pendule simple	34.1164	101.0	0
5544813	Battweiler	6.4002	0.0	0
6913639	António Pacheco	14.7747	0.0	0
9944131	Relais 4 × 100 mètres masculin aux Jeux olympiques d'été de 1968 (athlétisme)	18.8648	0.0	0
9857320	Gavin Gunning	9.935	0.0	0
5603047	L'Ombre sans corps	10.5878	0.0	0
657530	Prédédouanement	6.4717	2.0	0
12106710	Église Saint-Blaise de Serqueux	37.9174	0.0	0
319291	Phénomène de Rogers	11.945	3.0	0
9256792	Éditions lyonnaises d'art et d'histoire	20.3227	0.0	0
